"relative_path","Length","LastWriteTime"
"01_dpm_scraping\dpm_tn_from_catalog_csv_enricher.py","26256","17/04/2026 18:14:14"
"01_dpm_scraping\dpm_tn_live_mapper_and_rcp_tool_v4_final_hardened.py","45963","16/04/2026 20:16:12"
"01_dpm_scraping\dpm_tn_live_tools_README.md","2144","22/04/2026 12:00:08"
"01_dpm_scraping\dpm_tn_rcp_resume_only.py","18552","17/04/2026 21:20:58"
"01_dpm_scraping\summarize_local_coverage.py","36090","22/04/2026 12:00:08"
"01_dpm_scraping\verify_medicine_document_availability.py","16950","22/04/2026 12:00:08"
"02_pdf_text_extraction\build_rcp_fallback_reextraction_manifest.php","5320","02/06/2026 23:12:59"
"02_pdf_text_extraction\extract_rcp_sections_from_pdfs.py","22675","02/06/2026 23:12:12"
"02_pdf_text_extraction\ocr_local_document_queue.py","12026","26/04/2026 07:38:50"
"03_external_fallback_sources\fetch_bdpm_api_fallback.py","31979","26/04/2026 21:18:46"
"03_external_fallback_sources\fetch_eu_uk_live_fallback.py","35144","26/04/2026 21:11:34"
"03_external_fallback_sources\fetch_global_regulatory_fallback.py","89629","26/04/2026 21:12:16"
"03_external_fallback_sources\fetch_us_label_fallback.py","8080","25/04/2026 20:46:50"
"03_external_fallback_sources\fetch_us_live_fallback.py","18020","26/04/2026 09:42:30"
"03_external_fallback_sources\global_regulatory_fallback_enriched_v3.py","96220","26/04/2026 21:13:00"
"03_external_fallback_sources\guaranteed_source_hunter.py","42438","26/04/2026 20:25:32"
"03_external_fallback_sources\normalize_cache_fallback_data.py","36684","25/04/2026 19:39:34"
"03_external_fallback_sources\prepare_external_fallback_queues.py","12129","25/04/2026 20:45:10"
"03_external_fallback_sources\swissmedic_aips_adapter_v2_fixed.py","37535","26/04/2026 20:17:26"
"03_external_fallback_sources\swissmedic_aips_candidate_resolver_fast_v2.py","21145","26/04/2026 20:14:44"
"03_external_fallback_sources\who_vaccine_document_adapter_v2.py","36107","26/04/2026 20:37:34"
"04_release_build_and_correction\build_automatic_prescription_master_db.py","27373","22/04/2026 12:54:48"
"04_release_build_and_correction\build_final_data_release.py","27257","27/04/2026 09:47:26"
"04_release_build_and_correction\build_remaining_medicine_details.py","43018","26/04/2026 11:43:02"
"04_release_build_and_correction\create_corrected_final_release.py","18179","23/05/2026 10:12:15"
"04_release_build_and_correction\enhance_automatic_prescription_master_db.ps1","9849","22/04/2026 13:47:18"
"config\dpm_tn_class_map.json","17826","16/04/2026 13:50:12"
"README_SCRIPT_FINALE_SCRAPING.md","5287","08/06/2026 05:14:16"
"SCRIPT_FINALE_MANIFEST.csv","0","08/06/2026 05:14:24"
